Estados
CAPITAIS NACIONAIS
SEDES ADMINISTRATIVAS DA AMÉRICA PORTUGUESA
SEDES DAS COLÔNIAS NÃO PORTUGUESAS NO BRASIL
BRASIL INDEPENDENTE
CAPITAIS ESTADUAIS
ACRE
ALAGOAS
AMAPÁ
AMAZONAS
BAHIA
CEARÁ
DISTRITO FEDERAL
ESPÍRITO SANTO
GOIÁS
MARANHÃO
MATO GROSSO
MATO GROSSO DO SUL
MINAS GERAIS
PARÁ
PARAÍBA
PARANÁ
PERNAMBUCO
PIAUÍ
RIO GRANDE DO NORTE
RIO GRANDE DO SUL
RIO DE JANEIRO
RONDÔNIA
RORAIMA
SANTA CATARINA
SÃO PAULO
SERGIPE
TOCANTINS
"CAPITAIS DE UNIDADES DA FEDERAÇÃO EXTINTAS, TERRITÓRIOS INVADIDOS E MOVIMENTOS SEPARATISTAS"
CONFEDERAÇÃO DO EQUADOR
CONFEDERAÇÃO DO ITAPOCU
FEDERAÇÃO DOS GUANAIS
FERNANDO DE NORONHA
FRANÇA ANTÁRTICA
FRANÇA EQUINOCIAL
GUANABARA
IGUAÇU
ISLE DAUPHINE
MARACAJU
MONARQUIA CELESTE
PONTA PORÃ
PRINCESA
PRINCIPADO DE TRINIDAD
REPÚBLICA DE MANHUASSU
REPÚBLICA DE PERNAMBUCO
REPÚBLICA DO CRATO
"REPÚBLICA DE CUNANI OU RÉPUBLIQUE INDÉPENDANTE DE GUYANE, ESTADO LIVRE DO CUNANI"
REPÚBLICA TRANSATLÂNTICA DO MATO GROSSO OU ESTADO LIVRE DE MATO GROSSO
SÃO JOÃO DA PALMA
CAPITAIS DE TERRITÓRIOS JÁ CONTROLADOS PELO BRASIL
CISPLATINA
CONGO (CABINDA)
GUIANA FRANCESA
TRANSFERÊNCIAS TEMPORÁRIAS SIMBÓLICAS
VER TAMBÉM
REFERÊNCIAS
LIGAÇÕES EXTERNAS
