Estados
Capitais nacionais
Sedes administrativas da América portuguesa
Sedes das colônias não portuguesas no Brasil
Brasil independente
Capitais estaduais
Acre
Alagoas
Amapá
Amazonas
Bahia
Ceará
Distrito Federal
Espírito Santo
Goiás
Maranhão
Mato Grosso
Mato Grosso do Sul
Minas Gerais
Pará
Paraíba
Paraná
Pernambuco
Piauí
Rio Grande do Norte
Rio Grande do Sul
Rio de Janeiro
Rondônia
Roraima
Santa Catarina
São Paulo
Sergipe
Tocantins
"Capitais de unidades da federação extintas, territórios invadidos e movimentos separatistas"
Confederação do Equador
Confederação do Itapocu
Federação dos Guanais
Fernando de Noronha
França Antártica
França Equinocial
Guanabara
Iguaçu
Isle Dauphine
Maracaju
Monarquia Celeste
Ponta Porã
Princesa
Principado de Trinidad
República de Manhuassu
República de Pernambuco
República do Crato
"República de Cunani ou République indépendante de Guyane, Estado Livre do Cunani"
República Transatlântica do Mato Grosso ou Estado Livre de Mato Grosso
São João da Palma
Capitais de territórios já controlados pelo Brasil
Cisplatina
Congo (Cabinda)
Guiana Francesa
Transferências temporárias simbólicas
Ver também
Referências
Ligações externas
